,parameter,fraction,units,method_speciation,num_decimal_places,class,class_type,trout_class,spatial_extent,sampling_period,sampling_period_units,strata,type,use,water_type,pollutant,standard_type,narrative,wqs_threshold,statistic,min_n,block,direction,threshold,threshold_units,summarize_rows,summarize_rows_operator,num_rows_to_summarize,aggregate_parameter,wqs_75p_threshold_formula,wqs_75p_threshold
54,ammonia,total,ug/l,as N,1,a,fresh,non_trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
55,ammonia,total,ug/l,as N,1,a-special,fresh,non_trout,nys,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
56,ammonia,total,ug/l,as N,1,a-special,fresh,non_trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
57,ammonia,total,ug/l,as N,1,aa,fresh,non_trout,nys,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
58,ammonia,total,ug/l,as N,1,aa,fresh,non_trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
59,ammonia,total,ug/l,as N,1,aa-special,fresh,non_trout,nys,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
60,ammonia,total,ug/l,as N,1,aa-special,fresh,non_trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
61,ammonia,total,ug/l,as N,1,c,fresh,non_trout,nys,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
62,ammonia,total,ug/l,as N,1,c,fresh,non_trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
63,ammonia,total,ug/l,as N,1,b,fresh,non_trout,nys,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
64,ammonia,total,ug/l,as N,1,b,fresh,non_trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
